Kuupaev,temperatuur,niiskus,valgus,pNiiskus,taimeKorgus
2019-05-03 14:32:59,24.7,21.8,2529,566,12
2019-05-03 14:33:08,24.7,21.8,2408,566,12
2019-05-03 14:33:17,24.7,21.8,2248,566,12
2019-05-03 14:33:26,24.7,21.9,2449,566,12
2019-05-03 14:33:35,24.7,21.9,2635,566,12
2019-05-03 14:33:44,24.7,22,2635,566,11
2019-05-03 14:33:53,24.7,22,2644,566,11
2019-05-03 14:34:01,24.7,21.9,2660,566,12
2019-05-03 14:34:10,24.7,21.9,2468,566,12
2019-05-03 14:34:19,24.8,22,2342,566,12
2019-05-03 14:34:28,24.8,21.9,2357,566,12
2019-05-03 14:34:37,24.8,21.9,2675,566,12
2019-05-03 14:34:46,24.8,22,2554,566,11
2019-05-03 14:34:55,24.8,22.1,2569,566,12
2019-05-03 14:35:03,24.8,22,2644,566,12
2019-05-03 14:35:12,24.8,22,2675,566,11
2019-05-03 14:35:21,24.9,22.2,2660,566,12
2019-05-03 14:35:30,24.9,22.1,2644,567,12
2019-05-03 14:35:39,24.9,21.9,2644,566,11
2019-05-03 14:35:48,24.9,21.9,2650,567,12
2019-05-03 14:35:57,24.9,22,2554,566,12
2019-05-03 14:36:05,24.9,22.1,2635,567,12
2019-05-03 14:36:14,25,22.2,2650,567,12
2019-05-03 14:36:23,25,22.2,2660,567,12
2019-05-03 14:36:32,25,22.2,2660,567,12
2019-05-03 14:36:41,25,21.9,2675,567,12
2019-05-03 14:36:50,25,21.8,2700,567,12
2019-05-03 14:36:58,25,21.6,2730,567,11
2019-05-03 14:37:07,25,21.6,2755,567,11
2019-05-03 14:37:16,25.1,21.7,2841,567,11
2019-05-03 14:37:25,25.1,21.7,2937,567,11
2019-05-03 14:37:45,25.1,20.6,3123,559,27
2019-05-03 14:37:53,25.1,21.7,3218,564,11
2019-05-03 14:38:02,25.1,21.7,3375,566,12
2019-05-03 14:38:11,25.1,21.6,3480,567,12
2019-05-03 14:38:20,25.1,21.5,3576,570,11
2019-05-03 14:38:29,25.1,21.6,3641,567,11
2019-05-03 14:38:38,25.1,21.7,3767,567,12
2019-05-03 14:38:47,25.1,21.7,3596,567,12
2019-05-03 14:38:56,25.1,21.7,3838,567,11
2019-05-03 14:39:37,25.1,21.7,3501,567,25
2019-05-03 14:40:04,25.2,20.9,3214,556,26
2019-05-03 15:10:10,25.2,21.9,3239,567,10
2019-05-03 15:40:16,24.9,21.6,2468,569,10
2019-05-03 16:10:22,25.1,21.5,2503,572,10
2019-05-03 16:40:28,24.9,21.4,1471,576,10
2019-05-03 17:10:34,24.9,21.1,1064,578,10
